Vehicle_ID,Timestamp,Network_Type,Topology,Speed_kmh,Vehicle_Density_vehicles_km2,Signal_Strength_dBm,Distance_to_Receiver_m,CPU_Utilization_pct,Memory_Utilization_pct,Bandwidth_Utilization_pct,Network_Traffic_Mbps,Channel_Interference_pct,Interface_Errors,Active_Connections,Latency_ms,Packet_Loss_pct,Throughput_Mbps,Connection_Drops,Network_Issue
24,2026-08-01 00:12:00,5G,Urban,95.16,64.96,-78.78,184.34,50.91,73.04,22.33,61.09,20.51,4,135,59.14,3.31,80.48,0,0
3,2026-08-01 00:13:00,WiFi,Highway,74.23,35.42,-74.04,91.03,82.94,47.62,66.15,43.78,8.41,5,116,84.72,2.07,54.86,0,0
22,2026-08-01 00:14:00,5G,Urban,1.53,90.18,-72.46,497.15,63.35,33.79,70.6,46.92,23.68,4,92,134.5,7.64,48.88,2,1
53,2026-08-01 00:15:00,5G,Urban,38.09,127.27,-73.53,219.86,44.05,61.53,37.69,76.08,40.37,2,169,88.05,2.29,59.01,1,0
2,2026-08-01 00:16:00,5G,Highway,0.0,85.57,-71.95,134.65,40.14,74.67,91.12,95.42,29.19,8,164,119.54,4.52,25.89,0,1
88,2026-08-01 00:17:00,5G,Highway,51.49,54.57,-73.43,307.68,13.51,33.94,23.79,81.23,27.38,3,111,61.43,6.14,64.53,3,0
30,2026-08-01 00:18:00,5G,Highway,54.34,90.84,-91.34,258.4,38.01,73.78,31.89,54.78,32.37,5,145,90.07,3.57,80.33,0,0
38,2026-08-01 00:19:00,WiFi,Urban,48.73,143.55,-60.43,89.29,71.72,27.72,38.56,81.07,46.43,2,125,95.25,6.82,47.42,5,0
2,2026-08-01 00:20:00,4G,Highway,95.78,76.84,-74.54,158.05,56.47,19.09,45.09,128.42,17.58,2,124,76.43,1.95,74.76,0,0
64,2026-08-01 00:21:00,5G,Urban,73.57,35.54,-70.3,101.97,46.57,50.01,61.67,50.8,8.97,3,114,90.09,1.78,48.6,1,0
60,2026-08-01 00:22:00,4G,Highway,131.04,93.79,-86.21,198.89,55.63,54.49,30.57,71.87,25.59,4,102,98.29,3.67,75.08,0,1
21,2026-08-01 00:23:00,4G,Urban,76.96,108.58,-90.87,284.87,76.98,74.41,48.43,90.53,30.18,2,131,109.63,6.71,51.82,1,1
33,2026-08-01 00:24:00,WiFi,Highway,77.47,119.69,-69.41,53.17,30.28,47.16,66.64,65.38,37.14,6,168,78.46,3.54,35.48,0,0
76,2026-08-01 00:25:00,4G,Grid,69.62,112.89,-44.68,128.12,64.84,55.15,51.67,36.3,52.85,4,165,100.46,4.94,50.87,2,0
58,2026-08-01 00:26:00,5G,Urban,54.47,91.64,-45.19,268.23,27.98,44.79,55.24,112.78,32.91,2,94,71.26,3.77,46.88,0,0
22,2026-08-01 00:27:00,4G,Urban,43.81,51.65,-81.63,182.31,5.0,94.43,60.63,59.07,17.89,2,112,82.53,2.45,61.46,1,1
89,2026-08-01 00:28:00,4G,Highway,55.42,45.67,-79.1,151.81,45.61,48.32,36.11,83.91,37.39,3,90,37.23,1.81,57.83,1,0
49,2026-08-01 00:29:00,4G,Highway,56.71,71.48,-65.45,216.76,48.24,45.36,36.21,56.1,33.34,2,107,62.8,5.72,56.67,3,0
91,2026-08-01 00:30:00,5G,Highway,59.36,109.61,-107.99,57.5,51.32,50.44,65.3,122.28,27.62,5,134,95.93,4.76,59.57,2,0
59,2026-08-01 00:31:00,5G,Highway,79.81,58.98,-76.79,164.02,55.83,51.62,48.24,103.64,53.27,1,134,93.32,3.41,44.55,1,0
42,2026-08-01 00:32:00,5G,Urban,70.4,65.37,-64.66,236.51,68.41,20.38,60.64,60.11,25.45,1,150,104.12,4.78,65.68,2,0
92,2026-08-01 00:33:00,5G,Urban,47.53,49.58,-71.45,164.13,42.99,39.21,59.47,65.36,43.8,4,98,86.99,2.8,57.71,0,0
60,2026-08-01 00:34:00,5G,Urban,41.33,147.43,-96.49,61.36,31.15,32.49,38.08,74.11,52.17,3,110,119.58,4.59,70.13,0,0
80,2026-08-01 00:35:00,4G,Urban,68.28,76.12,-95.43,97.54,79.39,42.77,39.71,70.23,10.53,2,116,59.29,0.19,78.48,2,0
15,2026-08-01 00:36:00,5G,Highway,36.05,111.87,-89.47,120.73,83.17,85.24,51.4,57.38,4.86,2,110,99.03,0.0,61.28,0,0
62,2026-08-01 00:37:00,4G,Urban,50.05,148.21,-69.16,76.47,61.91,16.88,61.35,71.34,74.74,2,212,133.0,6.53,30.53,1,1
62,2026-08-01 00:38:00,5G,Grid,47.12,46.93,-80.54,73.1,66.99,32.21,71.16,16.35,29.35,5,114,80.54,2.38,44.93,1,0
47,2026-08-01 00:39:00,WiFi,Grid,129.93,115.36,-44.64,157.22,77.74,65.47,18.58,64.14,33.64,0,152,81.66,2.96,79.73,0,0
62,2026-08-01 00:40:00,5G,Grid,26.32,81.27,-88.05,296.95,77.94,40.88,,54.38,34.16,3,100,113.61,5.34,65.88,0,0
51,2026-08-01 00:41:00,5G,Grid,39.81,141.23,-49.58,42.54,33.67,73.45,50.21,64.94,47.08,0,119,118.21,3.67,56.38,3,0
55,2026-08-01 00:42:00,4G,Urban,46.44,53.31,-86.05,92.0,53.08,76.66,62.02,79.67,13.78,1,139,93.21,1.73,56.02,2,0
64,2026-08-01 00:43:00,4G,Grid,49.34,93.57,-35.0,80.66,24.54,22.72,42.45,65.12,22.8,1,145,72.29,1.0,62.99,1,0
3,2026-08-01 00:44:00,WiFi,Urban,89.99,110.38,-58.07,273.98,63.3,32.11,82.28,101.48,43.84,3,138,119.23,6.92,10.1,1,1
51,2026-08-01 00:45:00,5G,Urban,54.88,57.62,-101.26,178.62,69.83,89.46,46.71,52.88,0.0,6,156,61.4,1.5,71.16,1,0
7,2026-08-01 00:46:00,5G,Highway,24.92,76.69,-49.75,257.97,30.36,64.2,47.77,47.83,38.29,1,105,84.75,5.19,54.7,0,1
21,2026-08-01 00:47:00,WiFi,Urban,102.07,79.37,-74.93,195.33,71.01,30.64,43.36,77.92,27.56,2,179,82.19,2.67,59.89,1,0
73,2026-08-01 00:48:00,5G,Grid,69.38,128.75,-54.08,229.79,76.86,39.67,57.62,51.31,48.41,4,150,94.74,5.74,36.99,2,0
39,2026-08-01 00:49:00,4G,Highway,73.77,173.72,-68.16,140.49,87.81,68.75,45.55,79.11,50.94,8,167,82.83,5.11,53.0,2,1
18,2026-08-01 00:50:00,5G,Highway,80.22,148.08,-73.33,155.9,54.78,54.36,44.96,42.31,34.71,3,160,101.64,4.21,47.9,1,0
4,2026-08-01 00:51:00,5G,Urban,27.5,142.53,-71.81,160.15,67.48,60.18,57.17,61.3,49.07,3,133,136.64,5.33,37.29,2,1
89,2026-08-01 00:52:00,5G,Highway,61.81,5.0,-85.57,122.21,84.37,45.09,47.06,86.76,28.71,2,112,70.43,0.06,59.94,2,0
60,2026-08-01 00:53:00,5G,Urban,84.99,90.31,-74.61,120.34,34.3,47.76,69.9,83.41,33.06,2,145,111.8,3.73,42.01,0,1
14,2026-08-01 00:54:00,4G,Grid,44.07,87.56,-87.38,155.82,55.15,75.63,28.09,55.56,13.43,5,154,71.3,1.22,61.74,1,0
9,2026-08-01 00:55:00,WiFi,Urban,70.59,117.03,-75.08,153.66,32.17,70.39,74.92,80.75,30.99,4,111,118.97,4.12,26.18,0,0
90,2026-08-01 00:56:00,5G,Highway,77.22,27.37,-65.07,134.79,58.87,28.94,44.48,67.03,22.84,2,104,64.65,2.05,57.66,2,0
53,2026-08-01 00:57:00,4G,Urban,21.12,114.01,-52.13,132.54,53.41,47.63,69.82,91.62,45.76,5,121,102.96,4.17,38.23,1,0
2,2026-08-01 00:58:00,5G,Urban,33.09,5.0,-45.7,177.51,45.17,72.34,34.33,22.24,7.18,3,80,68.1,0.38,67.16,1,0
84,2026-08-01 00:59:00,5G,Highway,0.0,126.1,-68.19,111.87,70.3,5.0,77.41,2.0,47.76,4,110,123.13,3.52,40.93,0,1
92,2026-08-01 01:00:00,5G,Urban,68.35,19.07,-84.89,61.32,42.76,16.13,27.97,55.9,41.95,3,65,60.92,2.12,74.24,1,1
60,2026-08-01 01:01:00,WiFi,Highway,114.78,134.0,-68.78,134.38,50.02,86.56,62.15,63.54,29.86,5,185,126.84,2.18,62.78,1,0
71,2026-08-01 01:02:00,4G,Urban,42.62,131.99,-70.43,73.23,80.34,55.84,47.48,79.33,51.42,1,169,100.68,3.85,61.76,0,0
44,2026-08-01 01:03:00,4G,Urban,56.6,71.65,-48.23,212.46,98.36,53.24,27.17,91.11,44.39,3,100,83.69,2.54,67.91,0,0
8,2026-08-01 01:04:00,4G,Highway,90.37,102.53,-54.87,86.89,86.63,69.24,7.16,79.16,45.46,3,116,51.25,3.13,87.66,1,0
47,2026-08-01 01:05:00,4G,Urban,69.44,84.87,-64.51,91.13,63.25,20.25,41.95,89.34,50.0,3,92,92.75,3.3,59.01,2,0
35,2026-08-01 01:06:00,WiFi,Urban,34.74,25.85,-45.19,150.76,72.68,59.16,40.91,59.38,22.64,4,74,73.98,0.97,61.71,3,0
78,2026-08-01 01:07:00,4G,Grid,104.74,107.51,-75.59,119.23,63.88,74.51,71.35,71.82,20.05,3,111,105.07,1.96,34.17,0,0
81,2026-08-01 01:08:00,WiFi,Urban,67.53,132.49,-58.6,229.94,17.52,48.3,82.94,95.65,37.35,3,193,135.35,7.51,34.2,3,1
36,2026-08-01 01:09:00,5G,Urban,55.5,72.1,-75.57,106.96,25.64,85.4,86.63,84.93,11.05,4,115,82.83,3.47,33.66,1,1
50,2026-08-01 01:10:00,5G,Urban,57.82,110.55,-75.07,102.07,52.31,87.48,52.29,96.83,34.84,1,122,95.15,2.22,38.99,0,0
4,2026-08-01 01:11:00,5G,Urban,78.54,49.92,-99.02,78.86,96.42,80.16,36.49,67.27,16.99,5,121,52.18,1.21,69.93,0,0
2,2026-08-01 01:12:00,5G,Highway,44.83,121.72,-66.49,62.52,34.17,62.29,99.0,56.95,54.2,11,143,155.33,8.04,15.58,6,1
6,2026-08-01 01:13:00,4G,Urban,106.01,85.41,-66.06,89.84,72.59,54.01,54.65,66.52,28.25,3,126,72.42,1.38,49.13,0,0
54,2026-08-01 01:14:00,5G,Highway,97.24,84.4,-70.05,150.48,33.04,47.53,37.83,86.17,33.87,2,131,76.68,3.73,69.74,1,0
4,2026-08-01 01:15:00,4G,Urban,62.24,103.77,-61.19,243.09,76.23,54.78,46.01,89.95,50.3,2,119,102.39,5.46,52.54,1,0
54,2026-08-01 01:16:00,5G,Urban,63.73,146.17,-53.01,191.63,69.17,74.26,57.15,68.21,23.64,2,182,114.68,3.51,47.34,0,0
93,2026-08-01 01:17:00,5G,Urban,38.31,106.06,-68.26,87.68,32.74,32.07,68.29,58.19,57.93,0,139,99.48,4.28,19.59,0,0
63,2026-08-01 01:18:00,5G,Highway,44.15,41.71,-58.95,131.2,,59.89,40.63,72.98,23.31,1,84,77.26,3.17,73.94,1,0
18,2026-08-01 01:19:00,WiFi,Grid,30.21,56.27,-62.4,121.87,71.1,69.85,42.53,31.08,22.74,7,130,73.81,1.33,57.06,1,0
90,2026-08-01 01:20:00,5G,Highway,56.29,82.12,-51.85,226.96,62.6,41.02,67.7,45.1,24.86,3,136,77.14,5.63,28.32,2,0
44,2026-08-01 01:21:00,5G,Grid,63.75,104.85,-60.0,247.4,81.87,54.99,53.45,74.12,30.1,2,139,90.96,5.6,34.77,0,0
34,2026-08-01 01:22:00,4G,Urban,17.48,38.53,-40.66,41.13,72.34,70.92,38.36,51.78,39.19,3,47,62.3,1.59,49.8,1,0
74,2026-08-01 01:23:00,4G,Urban,81.29,98.97,-64.03,258.22,94.95,65.51,44.32,68.69,32.27,2,153,94.08,4.35,59.98,0,1
62,2026-08-01 01:24:00,5G,Urban,37.62,120.57,-82.06,50.61,89.69,47.22,77.42,57.03,38.04,4,124,101.62,4.28,42.24,0,0
100,2026-08-01 01:25:00,5G,Urban,73.53,64.99,-49.07,139.45,67.98,39.14,63.64,64.52,21.77,7,118,113.29,1.29,45.39,0,0
14,2026-08-01 01:26:00,5G,Urban,84.6,163.84,-58.38,38.02,74.49,35.21,76.06,82.59,50.48,0,171,116.53,6.48,18.08,0,1
95,2026-08-01 01:27:00,WiFi,Urban,98.6,55.29,-60.87,209.78,53.76,54.78,45.61,74.09,19.06,2,108,102.92,3.3,56.07,1,0
48,2026-08-01 01:28:00,5G,Urban,92.72,93.06,-91.14,99.61,66.33,64.14,73.66,58.81,25.65,3,120,119.32,2.9,44.5,0,1
15,2026-08-01 01:29:00,5G,Urban,108.39,5.0,-45.67,174.09,71.44,54.54,12.47,87.06,18.14,3,94,42.01,3.16,86.75,1,0
72,2026-08-01 01:30:00,5G,Urban,84.83,72.33,-52.98,102.41,47.09,41.69,69.5,49.67,36.89,4,113,86.87,3.0,37.51,0,0
78,2026-08-01 01:31:00,5G,Urban,66.7,79.05,-63.29,204.75,88.61,65.42,59.53,58.87,6.82,6,104,91.65,3.47,44.75,1,0
87,2026-08-01 01:32:00,4G,Grid,48.77,67.89,-110.0,47.98,50.37,53.76,33.34,114.42,29.85,2,132,79.35,1.82,69.26,0,0
62,2026-08-01 01:33:00,5G,Urban,58.66,55.52,-73.07,167.83,64.13,39.62,20.73,24.07,23.33,3,118,69.82,1.77,71.08,0,0
40,2026-08-01 01:34:00,5G,Highway,107.62,64.31,-39.31,150.93,54.36,35.27,39.45,80.12,29.48,0,111,69.19,3.19,68.04,0,0
85,2026-08-01 01:35:00,5G,Highway,56.46,110.35,-60.84,147.49,87.41,50.58,57.48,72.66,49.72,3,83,110.99,3.57,48.01,1,1
80,2026-08-01 01:36:00,5G,Urban,61.86,8.27,-86.15,159.17,30.45,48.96,50.07,48.76,29.23,2,69,108.54,1.52,38.96,0,0
82,2026-08-01 01:37:00,5G,Urban,103.33,10.59,-76.36,224.02,32.42,49.34,48.8,98.33,34.68,3,69,85.07,4.21,56.81,0,0
53,2026-08-01 01:38:00,4G,Urban,55.47,65.34,-73.98,206.49,46.12,84.14,57.87,44.15,26.11,4,109,91.44,4.08,53.14,0,0
24,2026-08-01 01:39:00,4G,Highway,39.75,80.12,-51.06,55.21,50.45,63.21,65.33,95.83,26.19,0,79,92.21,2.75,53.23,0,0
26,2026-08-01 01:40:00,WiFi,Urban,93.73,53.69,-90.63,127.82,59.1,60.15,67.7,69.05,30.99,3,94,76.86,1.21,38.35,1,0
89,2026-08-01 01:41:00,4G,Urban,38.83,87.53,-52.14,145.9,32.44,46.43,84.34,72.83,38.8,4,122,109.9,5.31,12.41,4,1
60,2026-08-01 01:42:00,4G,Urban,73.31,109.81,-56.15,115.71,63.04,64.09,50.92,53.43,40.34,3,148,111.8,2.14,53.92,1,0
41,2026-08-01 01:43:00,5G,Grid,68.41,124.15,-35.0,130.66,32.09,47.33,61.38,62.27,14.33,3,124,72.64,4.66,49.37,0,0
29,2026-08-01 01:44:00,4G,Urban,70.84,137.93,-60.01,156.08,60.71,90.15,47.54,49.37,35.07,6,193,100.49,5.41,54.98,3,1
15,2026-08-01 01:45:00,4G,Highway,0.0,32.02,-86.59,181.97,81.81,83.33,41.46,77.76,31.66,3,114,38.33,4.59,56.7,1,1
45,2026-08-01 01:46:00,4G,Highway,83.85,54.15,-68.72,164.22,75.16,32.68,34.24,95.53,37.57,2,142,89.2,2.89,72.66,0,0
65,2026-08-01 01:47:00,5G,Grid,60.33,49.91,-82.87,192.98,51.04,39.43,68.86,58.2,30.6,5,129,108.14,4.61,45.79,3,1
89,2026-08-01 01:48:00,5G,Highway,79.26,125.44,-62.17,354.46,45.83,84.79,62.0,80.84,41.49,1,146,126.65,9.86,53.06,0,1
71,2026-08-01 01:49:00,4G,Highway,76.02,59.69,-41.86,107.07,99.0,51.9,30.18,87.49,17.54,3,107,78.06,2.62,73.43,1,0
9,2026-08-01 01:50:00,4G,Grid,70.85,97.28,-80.87,111.46,71.81,63.32,46.7,53.84,36.85,1,158,79.16,3.38,56.63,1,1
88,2026-08-01 01:51:00,WiFi,Highway,50.88,28.4,-54.03,176.65,71.07,48.32,35.23,57.5,27.21,6,81,59.38,2.48,70.66,0,0
1,2026-08-01 01:52:00,5G,Urban,51.19,59.25,-77.29,119.72,78.22,6.07,26.92,83.58,44.26,1,110,79.74,3.96,73.01,4,0
8,2026-08-01 01:53:00,5G,Urban,60.48,49.13,-91.26,99.61,69.41,34.93,46.7,84.53,11.85,4,88,84.96,0.47,77.59,1,0
88,2026-08-01 01:54:00,5G,Highway,66.8,112.34,-44.02,93.45,69.26,61.99,78.38,89.1,48.06,1,171,98.22,4.97,34.21,0,0
63,2026-08-01 01:55:00,4G,Grid,50.13,35.13,-64.51,169.55,65.14,55.15,18.33,40.39,38.7,4,46,54.32,1.67,87.94,0,0
11,2026-08-01 01:56:00,5G,Highway,88.4,156.39,-60.63,153.9,64.51,50.5,75.57,94.45,38.42,1,197,128.21,2.86,26.99,0,0
81,2026-08-01 01:57:00,5G,Highway,52.82,93.62,-55.07,334.79,52.47,55.27,19.73,44.48,38.58,2,165,62.94,6.44,69.71,2,0
8,2026-08-01 01:58:00,WiFi,Highway,34.56,55.87,-93.51,68.3,56.62,34.26,58.62,98.18,2.96,5,114,57.68,0.74,47.61,0,1
35,2026-08-01 01:59:00,5G,Urban,78.67,98.65,-71.99,69.21,88.64,31.6,41.21,35.34,39.62,7,180,61.24,4.07,59.5,1,1
35,2026-08-01 02:00:00,4G,Highway,114.67,52.45,-92.64,124.47,75.17,20.97,67.91,72.83,30.21,4,58,93.59,2.48,42.18,0,0
33,2026-08-01 02:01:00,5G,Urban,29.31,42.51,-75.85,77.96,41.76,57.59,59.25,53.08,14.97,4,123,79.7,0.72,57.3,1,0
5,2026-08-01 02:02:00,4G,Grid,58.49,112.93,-50.76,45.06,76.77,73.62,67.01,75.85,33.87,3,113,110.74,3.49,47.82,2,0
41,2026-08-01 02:03:00,4G,Highway,91.79,139.76,-61.26,95.16,56.74,72.21,63.14,44.54,56.72,3,184,123.35,5.66,35.17,1,0
28,2026-08-01 02:04:00,WiFi,Highway,77.96,100.24,-77.26,394.36,43.37,75.52,43.07,48.92,27.58,7,81,105.13,7.35,72.36,2,1
7,2026-08-01 02:05:00,WiFi,Urban,79.39,35.85,-67.63,471.18,66.54,20.05,47.54,72.86,28.82,4,137,84.14,6.65,61.29,6,0
73,2026-08-01 02:06:00,5G,Urban,62.85,52.35,-70.18,161.68,41.13,47.66,47.39,68.59,0.0,5,91,67.27,0.56,58.17,2,0
72,2026-08-01 02:07:00,5G,Urban,0.0,146.16,-63.34,65.04,40.14,64.63,73.15,97.5,35.32,2,128,112.19,4.16,39.77,1,0
12,2026-08-01 02:08:00,5G,Highway,69.22,116.77,-77.38,78.07,83.86,56.58,46.62,73.24,53.2,4,104,93.48,5.18,36.46,1,0
34,2026-08-01 02:09:00,4G,Highway,72.46,39.9,-69.84,126.27,33.77,48.97,65.63,2.0,28.37,6,102,113.19,2.94,44.93,1,0
33,2026-08-01 02:10:00,4G,Urban,93.52,56.46,-65.73,90.94,62.24,71.07,72.4,81.53,39.58,3,148,105.36,3.21,30.03,0,0
48,2026-08-01 02:11:00,5G,Highway,40.97,92.5,-61.61,131.29,75.83,89.05,49.15,86.12,32.1,1,141,89.16,3.56,35.91,1,1
23,2026-08-01 02:12:00,4G,Grid,109.12,79.24,,122.89,41.8,26.14,52.67,107.27,20.9,1,48,64.81,3.67,61.58,0,0
62,2026-08-01 02:13:00,5G,Urban,53.31,168.56,-92.57,61.19,80.25,82.88,73.29,79.45,59.67,2,190,114.98,7.14,20.36,3,1
88,2026-08-01 02:14:00,4G,Highway,48.49,55.74,-86.9,116.81,70.69,49.39,49.6,24.0,40.3,4,66,68.33,2.07,61.55,0,0
37,2026-08-01 02:15:00,WiFi,Highway,41.82,108.97,-58.64,154.8,99.0,58.19,46.66,55.56,38.12,2,156,90.38,2.49,41.7,1,0
99,2026-08-01 02:16:00,5G,Highway,91.3,96.89,-71.81,97.69,61.39,52.68,64.97,90.19,42.83,4,149,120.44,3.13,38.41,0,0
44,2026-08-01 02:17:00,5G,Highway,31.31,18.61,-74.67,201.97,95.94,35.03,21.86,61.48,25.39,3,117,43.51,1.1,82.33,0,0
86,2026-08-01 02:18:00,5G,Highway,79.69,5.0,-71.77,123.74,34.39,58.96,40.31,86.18,25.97,4,80,58.9,1.38,67.19,1,0
91,2026-08-01 02:19:00,4G,Grid,39.39,69.61,-71.79,111.7,42.72,65.09,19.08,93.31,20.31,2,93,80.57,1.95,67.45,1,0
35,2026-08-01 02:20:00,5G,Urban,60.76,101.74,-94.51,124.16,80.69,45.0,67.46,46.31,41.24,1,154,120.63,3.76,47.32,0,0
65,2026-08-01 02:21:00,5G,Highway,19.31,148.59,-42.06,89.11,47.45,18.14,71.66,60.77,43.51,2,226,122.62,3.21,44.29,0,0
99,2026-08-01 02:22:00,5G,Urban,83.99,53.69,-69.69,150.01,49.21,58.64,37.08,41.01,37.13,6,68,82.02,1.99,55.61,1,0
47,2026-08-01 02:23:00,5G,Urban,57.8,103.98,-67.78,74.88,96.24,77.49,64.6,78.57,34.82,6,96,80.91,4.63,44.85,0,0
78,2026-08-01 02:24:00,5G,Urban,77.61,73.39,-66.82,446.44,72.18,54.11,75.95,30.79,35.9,3,106,115.19,8.74,30.05,2,1
3,2026-08-01 02:25:00,4G,Urban,56.99,154.1,-53.57,366.26,69.5,45.74,94.08,70.58,48.16,9,162,139.01,9.34,28.01,2,1
1,2026-08-01 02:26:00,5G,Grid,76.78,83.4,-57.75,115.02,64.4,70.94,62.96,74.44,13.44,4,83,83.97,1.87,44.39,0,0
5,2026-08-01 02:27:00,4G,Grid,60.71,67.41,-69.12,164.14,66.36,51.82,58.26,105.65,33.05,2,137,89.06,3.31,48.88,0,0
90,2026-08-01 02:28:00,4G,Urban,82.74,91.82,-81.09,167.13,23.64,48.84,73.16,71.78,18.2,3,153,92.23,1.89,43.5,0,0
14,2026-08-01 02:29:00,5G,Highway,76.95,92.71,-49.45,166.43,61.93,52.8,70.05,48.84,43.03,4,114,93.14,3.0,46.92,0,0
27,2026-08-01 02:30:00,5G,Highway,67.49,140.85,-67.16,174.89,44.71,48.83,52.27,41.5,52.22,1,182,96.81,4.9,67.03,0,0
9,2026-08-01 02:31:00,4G,Grid,36.8,85.2,-59.08,181.91,78.95,53.72,60.3,84.58,23.74,5,189,83.81,0.41,44.79,0,0
79,2026-08-01 02:32:00,WiFi,Highway,49.75,102.21,-84.27,175.71,44.44,61.76,52.89,88.07,21.57,6,117,73.47,0.87,54.61,2,0
15,2026-08-01 02:33:00,5G,Urban,40.38,18.84,-58.26,77.9,47.46,77.22,68.55,49.83,15.42,3,23,104.03,1.22,40.5,0,0
90,2026-08-01 02:34:00,5G,Highway,102.0,38.79,-89.38,153.27,31.3,16.7,54.76,45.78,22.57,0,87,42.38,2.45,58.2,0,0
42,2026-08-01 02:35:00,5G,Highway,83.85,69.94,-73.96,79.67,71.19,47.41,46.94,48.83,31.07,3,153,114.46,3.44,52.96,2,0
77,2026-08-01 02:36:00,4G,Highway,63.06,89.15,-66.01,160.01,87.1,80.79,51.8,80.54,6.7,6,101,101.39,2.78,46.44,2,0
51,2026-08-01 02:37:00,5G,Grid,46.26,54.53,-41.94,200.82,40.58,48.91,23.73,60.22,22.01,3,65,69.89,1.96,79.78,1,0
63,2026-08-01 02:38:00,5G,Grid,39.89,96.34,-58.12,147.49,45.12,75.97,58.8,75.58,40.76,2,169,107.83,1.34,35.65,1,0
96,2026-08-01 02:39:00,4G,Highway,65.43,64.07,-46.44,181.12,78.42,59.44,40.25,74.45,7.75,1,78,93.26,0.39,67.22,0,0
52,2026-08-01 02:40:00,4G,Highway,113.61,152.93,-61.1,135.42,57.2,80.96,71.98,80.28,45.29,0,149,129.55,6.58,33.45,1,1
96,2026-08-01 02:41:00,5G,Grid,62.17,76.73,-84.65,331.8,62.7,61.25,95.66,98.34,35.73,14,187,126.43,8.66,20.99,3,1
4,2026-08-01 02:42:00,5G,Urban,95.65,102.23,-84.56,150.41,68.89,77.22,57.07,99.05,29.81,5,132,98.71,4.49,47.45,0,0
94,2026-08-01 02:43:00,4G,Urban,69.72,76.27,-56.58,72.4,53.5,61.69,29.88,70.19,31.26,1,134,82.25,2.87,74.12,0,0
23,2026-08-01 02:44:00,5G,Urban,77.75,81.28,-83.03,91.84,50.96,76.09,46.83,95.66,24.02,2,121,117.53,2.43,57.22,0,0
15,2026-08-01 02:45:00,5G,Grid,48.67,106.85,-91.16,152.39,39.81,87.51,57.99,77.36,41.54,1,118,116.88,4.61,29.73,0,1
43,2026-08-01 02:46:00,4G,Highway,56.48,90.52,-82.64,247.01,37.83,68.31,49.79,108.32,39.4,2,116,91.04,5.42,60.58,5,0
29,2026-08-01 02:47:00,5G,Urban,38.74,64.13,-63.98,149.69,20.38,73.11,53.01,76.45,26.51,0,98,70.11,1.48,63.93,0,0
36,2026-08-01 02:48:00,4G,Grid,70.53,98.4,-79.91,135.87,61.27,45.07,56.14,24.75,12.53,2,135,101.9,1.37,56.09,0,0
13,2026-08-01 02:49:00,WiFi,Highway,55.18,78.66,-49.17,64.89,61.26,56.04,59.22,85.25,19.32,3,153,76.02,0.2,49.48,0,0
32,2026-08-01 02:50:00,5G,Grid,72.08,108.3,-61.59,340.5,67.34,32.73,62.9,78.19,53.45,4,132,130.18,7.77,12.48,2,1
